depth_nm,E_C_eV,E_V_eV,n_cm-3,p_cm-3,rho_C_cm-3,phi_V
820.0271,-4.34351,-6.24351,1.1468e+18,-3.3435e+13,-2.3521e-02,0.24351
820.0661,-4.34345,-6.24345,1.1442e+18,-3.3415e+13,-2.3113e-02,0.24345
820.1219,-4.34337,-6.24337,1.1407e+18,-3.3385e+13,-2.2540e-02,0.24337
820.2018,-4.34325,-6.24325,1.1357e+18,-3.3337e+13,-2.1748e-02,0.24325
820.3158,-4.34310,-6.24310,1.1290e+18,-3.3261e+13,-2.0669e-02,0.24310
820.4779,-4.34289,-6.24289,1.1200e+18,-3.3137e+13,-1.9230e-02,0.24289
820.7075,-4.34263,-6.24263,1.1084e+18,-3.2934e+13,-1.7373e-02,0.24263
821.0304,-4.34229,-6.24229,1.0941e+18,-3.2597e+13,-1.5076e-02,0.24229
821.4801,-4.34189,-6.24189,1.0773e+18,-3.2044e+13,-1.2395e-02,0.24189
822.0983,-4.34146,-6.24146,1.0592e+18,-3.1157e+13,-9.4968e-03,0.24146
822.9328,-4.34102,-6.24102,1.0415e+18,-2.9793e+13,-6.6579e-03,0.24102
824.0321,-4.34064,-6.24064,1.0262e+18,-2.7823e+13,-4.1960e-03,0.24064
825.4348,-4.34035,-6.24035,1.0146e+18,-2.5188e+13,-2.3476e-03,0.24035
827.1532,-4.34016,-6.24016,1.0072e+18,-2.1960e+13,-1.1646e-03,0.24016
829.1565,-4.34006,-6.24006,1.0032e+18,-1.8350e+13,-5.2048e-04,0.24006
831.3611,-4.34002,-6.24002,1.0013e+18,-1.4665e+13,-2.1694e-04,0.24002
833.6389,-4.34000,-6.24000,1.0005e+18,-1.1222e+13,-8.8519e-05,0.24000
835.8435,-4.33999,-6.23999,1.0002e+18,-8.2615e+12,-3.7259e-05,0.23999
837.8468,-4.33999,-6.23999,1.0001e+18,-5.8950e+12,-1.6872e-05,0.23999
839.5652,-4.33999,-6.23999,1.0000e+18,-4.1133e+12,-8.4444e-06,0.23999
840.9679,-4.33999,-6.23999,1.0000e+18,-2.8299e+12,-4.6836e-06,0.23999
842.0672,-4.34000,-6.24000,1.0000e+18,-1.9317e+12,-2.8515e-06,0.24000
