depth_nm,E_C_eV,E_V_eV,n_cm-3,p_cm-3,rho_C_cm-3,phi_V
820.0271,-5.37481,-7.27481,3.7798e+17,4.9298e+10,9.9658e-02,1.27481
820.0661,-5.37515,-7.27515,3.8305e+17,8.6072e+10,9.8846e-02,1.27515
820.1219,-5.37564,-7.27564,3.9033e+17,1.3778e+11,9.7681e-02,1.27564
820.2018,-5.37632,-7.27632,4.0075e+17,2.0983e+11,9.6010e-02,1.27632
820.3158,-5.37726,-7.27726,4.1566e+17,3.0898e+11,9.3621e-02,1.27726
820.4779,-5.37855,-7.27855,4.3688e+17,4.4327e+11,9.0222e-02,1.27855
820.7075,-5.38027,-7.28027,4.6681e+17,6.2155e+11,8.5426e-02,1.28027
821.0304,-5.38247,-7.28247,5.0836e+17,8.5292e+11,7.8770e-02,1.28247
821.4801,-5.38517,-7.28517,5.6438e+17,1.1464e+12,6.9794e-02,1.28517
822.0983,-5.38827,-7.28827,6.3617e+17,1.5117e+12,5.8292e-02,1.28827
822.9328,-5.39150,-7.29150,7.2081e+17,1.9611e+12,4.4732e-02,1.29150
824.0321,-5.39448,-7.29448,8.0874e+17,2.5080e+12,3.0644e-02,1.29448
825.4348,-5.39683,-7.29683,8.8572e+17,3.1536e+12,1.8310e-02,1.29683
827.1532,-5.39840,-7.29840,9.4080e+17,3.8577e+12,9.4856e-03,1.29840
829.1565,-5.39927,-7.29927,9.7290e+17,4.5150e+12,4.3419e-03,1.29927
831.3611,-5.39968,-7.29968,9.8858e+17,4.9758e+12,1.8306e-03,1.29968
833.6389,-5.39986,-7.29986,9.9532e+17,5.1143e+12,7.5088e-04,1.29986
835.8435,-5.39994,-7.29994,9.9803e+17,4.8933e+12,3.1695e-04,1.29994
837.8468,-5.39997,-7.29997,9.9910e+17,4.3765e+12,1.4416e-04,1.29997
839.5652,-5.39998,-7.29998,9.9955e+17,3.6883e+12,7.2562e-05,1.29998
840.9679,-5.39999,-7.29999,9.9975e+17,2.9571e+12,4.0501e-05,1.29999
842.0672,-5.39999,-7.29999,9.9985e+17,2.2770e+12,2.4651e-05,1.29999
842.9017,-5.39999,-7.29999,9.9990e+17,1.6976e+12,1.5864e-05,1.29999
843.5199,-5.40000,-7.30000,9.9994e+17,1.2333e+12,1.0601e-05,1.30000
843.9696,-5.40000,-7.30000,9.9996e+17,8.7677e+11,7.1693e-06,1.30000
844.2925,-5.40000,-7.30000,9.9997e+17,6.1100e+11,4.8644e-06,1.30000
844.5221,-5.40000,-7.30000,9.9998e+17,4.1704e+11,3.2704e-06,1.30000
844.6842,-5.40000,-7.30000,9.9999e+17,2.7754e+11,2.1410e-06,1.30000
844.7982,-5.40000,-7.30000,9.9999e+17,1.7825e+11,1.3818e-06,1.30000
844.8781,-5.40000,-7.30000,9.9999e+17,1.0808e+11,8.2803e-07,1.30000
844.9339,-5.40000,-7.30000,1.0000e+18,5.8742e+10,4.5828e-07,1.30000
844.9729,-5.40000,-7.30000,1.0000e+18,2.4168e+10,1.7519e-07,1.30000
845.0000,-5.40000,-7.30000,1.0000e+18,7.7194e-11,0.0000e+00,1.30000
