depth_nm,E_C_eV,E_V_eV,n_cm-3,p_cm-3,rho_C_cm-3,phi_V
820.0271,-4.25023,-6.15023,2.1869e+18,-8.7835e+14,-1.9030e-01,0.15023
820.0661,-4.24986,-6.14986,2.1559e+18,-8.8814e+14,-1.8534e-01,0.14986
820.1219,-4.24935,-6.14935,2.1133e+18,-9.0197e+14,-1.7852e-01,0.14935
820.2018,-4.24863,-6.14863,2.0560e+18,-9.2131e+14,-1.6933e-01,0.14863
820.3158,-4.24767,-6.14767,1.9806e+18,-9.4800e+14,-1.5726e-01,0.14767
820.4779,-4.24639,-6.14639,1.8850e+18,-9.8410e+14,-1.4196e-01,0.14639
820.7075,-4.24475,-6.14475,1.7693e+18,-1.0314e+15,-1.2342e-01,0.14475
821.0304,-4.24274,-6.14274,1.6371e+18,-1.0906e+15,-1.0224e-01,0.14274
821.4801,-4.24043,-6.14043,1.4966e+18,-1.1591e+15,-7.9750e-02,0.14043
822.0983,-4.23795,-6.13795,1.3597e+18,-1.2293e+15,-5.7826e-02,0.13795
822.9328,-4.23554,-6.13554,1.2389e+18,-1.2864e+15,-3.8479e-02,0.13554
824.0321,-4.23347,-6.13347,1.1436e+18,-1.3116e+15,-2.3216e-02,0.13347
825.4348,-4.23193,-6.13193,1.0773e+18,-1.2891e+15,-1.2586e-02,0.13193
827.1532,-4.23094,-6.13094,1.0370e+18,-1.2143e+15,-6.1248e-03,0.13094
829.1565,-4.23041,-6.13041,1.0158e+18,-1.0959e+15,-2.7107e-03,0.13041
831.3611,-4.23016,-6.13016,1.0061e+18,-9.4964e+14,-1.1253e-03,0.13016
833.6389,-4.23005,-6.13005,1.0021e+18,-7.9242e+14,-4.5871e-04,0.13005
835.8435,-4.23002,-6.13002,1.0006e+18,-6.3848e+14,-1.9318e-04,0.13002
837.8468,-4.23000,-6.13000,1.0000e+18,-4.9835e+14,-8.7713e-05,0.13000
839.5652,-4.23000,-6.13000,9.9990e+17,-3.7827e+14,-4.4079e-05,0.13000
840.9679,-4.23000,-6.13000,9.9987e+17,-2.8041e+14,-2.4561e-05,0.13000
842.0672,-4.23000,-6.13000,9.9989e+17,-2.0382e+14,-1.4911e-05,0.13000
842.9017,-4.23000,-6.13000,9.9991e+17,-1.4575e+14,-9.5815e-06,0.13000
843.5199,-4.23000,-6.13000,9.9994e+17,-1.0277e+14,-6.3920e-06,0.13000
843.9696,-4.23000,-6.13000,9.9996e+17,-7.1526e+13,-4.3344e-06,0.13000
844.2925,-4.23000,-6.13000,9.9997e+17,-4.9105e+13,-2.9011e-06,0.13000
844.5221,-4.23000,-6.13000,9.9998e+17,-3.3166e+13,-1.9550e-06,0.13000
844.6842,-4.23000,-6.13000,9.9999e+17,-2.1911e+13,-1.3080e-06,0.13000
844.7982,-4.23000,-6.13000,9.9999e+17,-1.4000e+13,-8.0926e-07,0.13000
844.8781,-4.23000,-6.13000,9.9999e+17,-8.4585e+12,-4.9771e-07,0.13000
844.9339,-4.23000,-6.13000,1.0000e+18,-4.5856e+12,-2.7390e-07,0.13000
844.9729,-4.23000,-6.13000,1.0000e+18,-1.8834e+12,-1.0805e-07,0.13000
845.0000,-4.23000,-6.13000,1.0000e+18,7.7194e-11,0.0000e+00,0.13000
