# AM1.5G global tilt photon flux derived from ASTM G-173-03 reference spectrum.
# Source: pvlib.spectrum.get_reference_spectra() (NREL ASTM G-173 mirror).
# Column 1: wavelength [nm].  Column 2: photon flux [photons/m^2/s/m].
# Conversion: Phi(lam) = E(lam) [W/m^2/nm] * 1e9 [nm/m] * lam [m] / (h*c).
# Range: 280-1500 nm at native ASTM sampling.
# wavelength_nm,spectral_flux_m-2_s-1_m-1
3.730000e+02,1.162049e+27
3.735000e+02,1.048912e+27
3.740000e+02,1.047567e+27
3.745000e+02,1.041182e+27
3.750000e+02,1.112477e+27
3.755000e+02,1.231764e+27
3.760000e+02,1.277280e+27
3.765000e+02,1.258319e+27
3.770000e+02,1.351752e+27
3.775000e+02,1.509946e+27
3.780000e+02,1.628784e+27
3.785000e+02,1.589458e+27
3.790000e+02,1.419290e+27
3.795000e+02,1.273944e+27
3.800000e+02,1.340548e+27
3.805000e+02,1.438048e+27
3.810000e+02,1.465025e+27
3.815000e+02,1.322025e+27
3.820000e+02,1.128397e+27
3.825000e+02,9.774475e+26
3.830000e+02,8.772510e+26
3.835000e+02,8.504028e+26
3.840000e+02,9.852628e+26
3.845000e+02,1.187676e+27
3.850000e+02,1.305431e+27
3.855000e+02,1.249062e+27
3.860000e+02,1.206708e+27
3.865000e+02,1.256329e+27
3.870000e+02,1.269196e+27
3.875000e+02,1.252440e+27
3.880000e+02,1.241907e+27
3.885000e+02,1.234785e+27
3.890000e+02,1.342258e+27
3.895000e+02,1.489611e+27
3.900000e+02,1.564735e+27
3.905000e+02,1.579951e+27
3.910000e+02,1.675805e+27
3.915000e+02,1.701716e+27
3.920000e+02,1.568694e+27
3.925000e+02,1.309166e+27
3.930000e+02,9.491411e+26
3.935000e+02,7.557625e+26
3.940000e+02,9.831327e+26
3.945000e+02,1.358098e+27
3.950000e+02,1.606132e+27
3.955000e+02,1.713011e+27
3.960000e+02,1.508190e+27
3.965000e+02,1.098154e+27
3.970000e+02,8.517596e+26
3.975000e+02,1.259568e+27
3.980000e+02,1.708031e+27
3.985000e+02,2.019938e+27
3.990000e+02,2.147809e+27
3.995000e+02,2.216466e+27
4.000000e+02,2.243404e+27
4.010000e+02,2.342275e+27
4.020000e+02,2.440802e+27
4.030000e+02,2.355986e+27
4.040000e+02,2.400067e+27
4.050000e+02,2.346882e+27
4.060000e+02,2.294632e+27
4.070000e+02,2.259101e+27
4.080000e+02,2.364883e+27
4.090000e+02,2.532307e+27
4.100000e+02,2.164091e+27
4.110000e+02,2.428618e+27
4.120000e+02,2.588007e+27
4.130000e+02,2.488879e+27
4.140000e+02,2.468020e+27
4.150000e+02,2.560890e+27
4.160000e+02,2.643709e+27
4.170000e+02,2.584568e+27
4.180000e+02,2.478188e+27
4.190000e+02,2.585574e+27
4.200000e+02,2.374814e+27
4.210000e+02,2.703671e+27
4.220000e+02,2.673129e+27
4.230000e+02,2.594499e+27
4.240000e+02,2.586332e+27
4.250000e+02,2.671807e+27
4.260000e+02,2.602392e+27
4.270000e+02,2.520153e+27
4.280000e+02,2.550833e+27
4.290000e+02,2.367609e+27
4.300000e+02,1.893264e+27
4.310000e+02,1.722615e+27
4.320000e+02,2.872177e+27
4.330000e+02,2.678504e+27
4.340000e+02,2.480192e+27
4.350000e+02,2.726790e+27
4.360000e+02,2.997980e+27
4.370000e+02,3.067333e+27
4.380000e+02,2.698409e+27
4.390000e+02,2.602248e+27
4.400000e+02,2.990044e+27
4.410000e+02,2.955546e+27
4.420000e+02,3.170738e+27
4.430000e+02,3.223183e+27
4.440000e+02,3.147982e+27
4.450000e+02,3.274922e+27
4.460000e+02,2.943029e+27
4.470000e+02,3.353548e+27
4.480000e+02,3.401194e+27
4.490000e+02,3.400649e+27
4.500000e+02,3.532817e+27
4.510000e+02,3.671896e+27
4.520000e+02,3.522806e+27
4.530000e+02,3.260366e+27
4.540000e+02,3.504797e+27
4.550000e+02,3.487092e+27
4.560000e+02,3.609534e+27
4.570000e+02,3.647357e+27
4.580000e+02,3.576947e+27
4.590000e+02,3.556336e+27
4.600000e+02,3.540927e+27
4.610000e+02,3.673016e+27
4.620000e+02,3.715405e+27
4.630000e+02,3.736499e+27
4.640000e+02,3.630814e+27
4.650000e+02,3.593227e+27
4.660000e+02,3.676726e+27
4.670000e+02,3.520051e+27
4.680000e+02,3.679784e+27
4.690000e+02,3.702521e+27
4.700000e+02,3.567271e+27
4.710000e+02,3.635086e+27
4.720000e+02,3.831704e+27
4.730000e+02,3.690524e+27
4.740000e+02,3.739369e+27
4.750000e+02,3.870166e+27
4.760000e+02,3.745562e+27
4.770000e+02,3.775763e+27
4.780000e+02,3.905437e+27
4.790000e+02,3.837892e+27
4.800000e+02,3.909938e+27
4.810000e+02,3.917115e+27
4.820000e+02,3.939575e+27
4.830000e+02,3.899605e+27
4.840000e+02,3.833609e+27
4.850000e+02,3.829077e+27
4.860000e+02,3.111072e+27
4.870000e+02,3.491345e+27
