x,V_oc_sl,V_oc_scaps,V_oc_delta_mV,J_sc_sl,J_sc_scaps,FF_sl,FF_scaps,PCE_sl,PCE_scaps,voc_bracketed
1.000000e+09,1.011144,1.249473,-238.329,271.5928,262.8200,0.840916,0.907999,0.230932,0.298175,True
1.000000e+10,0.939519,1.248254,-308.735,271.5927,262.8200,0.865169,0.902795,0.220762,0.296176,True
1.000000e+11,0.873881,1.235720,-361.839,271.5921,262.8200,0.854638,0.876373,0.202839,0.284621,True
1.000000e+12,0.824799,1.167551,-342.752,271.5866,262.8199,0.815184,0.869876,0.182605,0.266926,True
1.000000e+13,0.779533,1.088511,-308.978,271.5391,262.8197,0.837813,0.875539,0.177343,0.250476,True
1.000000e+14,0.770183,1.022812,-252.629,271.3517,262.8175,0.826569,0.872634,0.172745,0.234575,True
1.000000e+15,nan,0.967755,nan,nan,262.7963,nan,0.862206,nan,0.219278,False
