x,V_oc_sl,V_oc_scaps,V_oc_delta_mV,J_sc_sl,J_sc_scaps,FF_sl,FF_scaps,PCE_sl,PCE_scaps,voc_bracketed
1.000000e+09,1.052141,1.167649,-115.508,271.5928,262.8199,0.870212,0.869829,0.248666,0.266934,True
1.000000e+10,1.052141,1.167648,-115.507,271.5928,262.8199,0.870212,0.869830,0.248666,0.266934,True
1.000000e+11,1.052140,1.167639,-115.499,271.5928,262.8199,0.870197,0.869834,0.248662,0.266934,True
1.000000e+12,1.052141,1.167550,-115.409,271.5928,262.8199,0.871242,0.869876,0.248961,0.266926,True
1.000000e+13,1.052140,1.166683,-114.543,271.5928,262.8199,0.870212,0.870283,0.248666,0.266853,True
1.000000e+14,1.052137,1.159563,-107.426,271.5928,262.8194,0.870214,0.873396,0.248666,0.266172,True
1.000000e+15,1.052104,1.129075,-76.971,271.5928,262.8141,0.870232,0.880927,0.248663,0.261403,True
