axis,x,status,Voc_V,Jsc_mA_cm2,FF_percent,PCE_percent,voc_bracketed
baseline,0.0,ok,1.002040119482067,26.290380107123536,74.67868031225153,19.67336320908556,True
cbo_delta_ec_eV,-1.0,ok,1.0017792221260562,26.275654281897907,71.00160255542909,18.689329031357232,True
cbo_delta_ec_eV,-0.5,ok,1.001989573741671,26.290021228020414,73.50182715613846,19.362091780931678,True
cbo_delta_ec_eV,-0.25,ok,1.002052568185628,26.290338546113418,74.62927842854096,19.660561936336123,True
cbo_delta_ec_eV,-0.16,ok,1.002040119482067,26.290380107123536,74.67868031225153,19.67336320908556,True
cbo_delta_ec_eV,-0.05,ok,1.002042725283337,26.290417540371003,74.69863595353216,19.67869951975896,True
cbo_delta_ec_eV,0.0,ok,1.0020545413355622,26.29042727879869,74.69914391683665,19.679072679801454,True
cbo_delta_ec_eV,0.1,ok,1.0020570520888847,26.290436625949873,74.70096213793362,19.679607985971703,True
cbo_delta_ec_eV,0.2,ok,1.0020469902569518,26.290440788194836,74.70301841600352,19.67995520633265,True
cbo_delta_ec_eV,0.3,ok,1.002047041021007,26.290443122395537,74.70385298902097,19.680177812705757,True
cbo_delta_ec_eV,0.4,ok,1.0020974791357395,26.29044457395749,74.70050446468932,19.680287314181577,True
cbo_delta_ec_eV,0.5,ok,1.0023414906175432,26.29044546025637,74.68188578933929,19.680173748278836,True
cbo_delta_ec_eV,0.7,ok,1.005588559808471,26.290440795575044,74.38334079514871,19.66499641824411,True
etl_donor_cm3,10000000000.0,ok,1.1131199888025354,26.289068369906953,44.50366124214148,13.023056318013845,True
etl_donor_cm3,1000000000000.0,ok,1.104459766564762,26.289573245383405,62.93598910317686,18.27395277512838,True
etl_donor_cm3,100000000000000.0,ok,1.0469055196948422,26.28995551638105,70.82847419183533,19.494191456345675,True
etl_donor_cm3,1e+16,ok,1.0037349423632573,26.290207789461657,74.42399421097089,19.63930143741927,True
etl_donor_cm3,1e+18,ok,1.002040119482067,26.290380107123536,74.67868031225153,19.67336320908556,True
etl_donor_cm3,1e+20,ok,1.0019713023372154,26.2904215544733,74.70477941611702,19.67891820481858,True
pvk_donor_cm3,100000000.0,ok,1.0020402102131964,26.290374770632404,74.68210916575381,19.674264294686807,True
pvk_donor_cm3,10000000000.0,ok,1.0020402102037698,26.29037477094288,74.68210883074754,19.674264206479965,True
pvk_donor_cm3,1000000000000.0,ok,1.0020402092641671,26.29037482486537,74.68207521806039,19.674255373453665,True
pvk_donor_cm3,100000000000000.0,ok,1.002040119482067,26.290380107123536,74.67868031225153,19.67336320908556,True
pvk_donor_cm3,1e+16,ok,1.002072521131777,26.290635115727433,74.78313089998377,19.70170782825393,True
pvk_donor_cm3,1e+18,ok,0.9761832319758974,25.793246106603,26.263053191278313,6.6127569206792485,True
absorber_bulk_nt_proxy_cm3,1000000000.0,ok,1.0036181809655524,26.290621422083525,74.72677453497022,19.71721665981553,True
absorber_bulk_nt_proxy_cm3,10000000000.0,ok,1.0036028640634627,26.290619248321853,74.7264210077119,19.716820832307643,True
absorber_bulk_nt_proxy_cm3,100000000000.0,ok,1.0034508688592536,26.290597512151372,74.72280058299037,19.712863313974243,True
absorber_bulk_nt_proxy_cm3,1000000000000.0,ok,1.002040119482067,26.290380107123536,74.67868031225153,19.67336320908556,True
absorber_bulk_nt_proxy_cm3,10000000000000.0,ok,0.8617566804982605,26.28820628904608,85.13108123764603,19.285626972301422,True
absorber_bulk_nt_proxy_cm3,100000000000000.0,ok,0.7765740753969719,26.26648755116936,78.24545197429696,15.960408144190932,True
absorber_bulk_nt_proxy_cm3,1000000000000000.0,ok,0.7355891956862883,26.05122589271118,65.49035447404455,12.549916825027221,True
pvk_etl_edge_nt_proxy_cm3,1000000000.0,ok,1.002040119482067,26.290380107123536,74.67868031225153,19.67336320908556,True
pvk_etl_edge_nt_proxy_cm3,10000000000.0,ok,1.002040119482067,26.290380107123536,74.67868031225153,19.67336320908556,True
pvk_etl_edge_nt_proxy_cm3,100000000000.0,ok,1.002040119482067,26.290380107123536,74.67868031225153,19.67336320908556,True
pvk_etl_edge_nt_proxy_cm3,1000000000000.0,ok,1.002040119482067,26.290380107123536,74.67868031225153,19.67336320908556,True
pvk_etl_edge_nt_proxy_cm3,10000000000000.0,ok,1.0018432562909199,26.290344567313305,74.68182113882959,19.670298799826906,True
pvk_etl_edge_nt_proxy_cm3,100000000000000.0,ok,1.0001198316213105,26.289989190145825,74.69522951977466,19.639720943921077,True
pvk_etl_edge_nt_proxy_cm3,1000000000000000.0,ok,0.83879901450412,26.28643680510678,87.7151445990468,19.340344938944533,True
absorber_trap_depth_below_cb_eV,0.01,ok,1.003608677368403,26.290621267636062,74.72762506743885,19.717254252255522,True
absorber_trap_depth_below_cb_eV,0.05,ok,1.0035694762657663,26.29061996352318,74.73045990190707,19.717231071262965,True
absorber_trap_depth_below_cb_eV,0.1,ok,1.0033436855674407,26.29061348944678,74.74667490750187,19.7170673629381,True
absorber_trap_depth_below_cb_eV,0.2,ok,1.0022055894569366,26.29054785839052,74.80926965999576,19.711145861662853,True
absorber_trap_depth_below_cb_eV,0.3,ok,1.0020440375700457,26.29040674830756,74.70098389265148,19.679335757702336,True
absorber_trap_depth_below_cb_eV,0.4,ok,1.0020402015884164,26.29039156092292,74.67919454825952,19.673508862586473,True
absorber_trap_depth_below_cb_eV,0.5,ok,1.0020401211982488,26.290380899889975,74.67868952526833,19.673366263093875,True
absorber_trap_depth_below_cb_eV,0.6,ok,1.00204011951833,26.290380124039785,74.67868050218964,19.673363272493447,True
