axis,x,status,Voc_V_solarlab,Jsc_mA_cm2_solarlab,FF_percent_solarlab,PCE_percent_solarlab,voc_bracketed,x_round,PCE_percent_scaps,Voc_V_scaps,FF_percent_scaps,Jsc_mA_cm2_scaps
etl_donor_cm3,10000000000.0,ok,1.1131199888025354,26.289068369906953,44.50366124214148,13.023056318013845,True,10000000000.0,17.5945,1.100196,60.8285,26.29049969
etl_donor_cm3,1000000000000.0,ok,1.104459766564762,26.289573245383405,62.93598910317686,18.27395277512838,True,1000000000000.0,20.4893,1.132448,68.8235,26.28887261
etl_donor_cm3,100000000000000.0,ok,1.0469055196948422,26.28995551638105,70.82847419183533,19.494191456345675,True,100000000000000.0,23.2512,1.141248,77.5039,26.2870558
etl_donor_cm3,1e+16,ok,1.0037349423632573,26.290207789461657,74.42399421097089,19.63930143741927,True,1e+16,24.7579,1.14637,82.1615,26.28571211
etl_donor_cm3,1e+18,ok,1.002040119482067,26.290380107123536,74.67868031225153,19.67336320908556,True,1e+18,26.6926,1.16755,86.9876,26.28199376
etl_donor_cm3,1e+20,ok,1.0019713023372154,26.2904215544733,74.70477941611702,19.67891820481858,True,1e+20,29.2855,1.237259,90.063,26.28120163
