axis,x,status,Voc_V_solarlab,Jsc_mA_cm2_solarlab,FF_percent_solarlab,PCE_percent_solarlab,voc_bracketed,x_round,PCE_percent_scaps,Voc_V_scaps,FF_percent_scaps,Jsc_mA_cm2_scaps
pvk_etl_edge_nt_proxy_cm3,1000000000.0,ok,1.002040119482067,26.290380107123536,74.67868031225153,19.67336320908556,True,1000000000.0,29.8175,1.249473,90.7999,26.28199622
pvk_etl_edge_nt_proxy_cm3,10000000000.0,ok,1.002040119482067,26.290380107123536,74.67868031225153,19.67336320908556,True,10000000000.0,29.6176,1.248254,90.2795,26.2819962
pvk_etl_edge_nt_proxy_cm3,100000000000.0,ok,1.002040119482067,26.290380107123536,74.67868031225153,19.67336320908556,True,99999999999.99998,28.4621,1.23572,87.6373,26.28199597
pvk_etl_edge_nt_proxy_cm3,1000000000000.0,ok,1.002040119482067,26.290380107123536,74.67868031225153,19.67336320908556,True,1000000000000.0,26.6926,1.167551,86.9876,26.28199376
pvk_etl_edge_nt_proxy_cm3,10000000000000.0,ok,1.0018432562909199,26.290344567313305,74.68182113882959,19.670298799826906,True,10000000000000.0,25.0476,1.088511,87.5539,26.28197167
pvk_etl_edge_nt_proxy_cm3,100000000000000.0,ok,1.0001198316213105,26.289989190145825,74.69522951977466,19.639720943921077,True,100000000000000.0,23.4575,1.022812,87.2634,26.28175152
pvk_etl_edge_nt_proxy_cm3,1000000000000000.0,ok,0.83879901450412,26.28643680510678,87.7151445990468,19.340344938944533,True,1000000000000000.0,21.9278,0.967755,86.2206,26.27962552
